"filename", "language", "JSON with Comments", "JavaScript", "SQL", "TypeScript", "Markdown", "JSON", "XML", "Solidity", "TypeScript JSX", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\README.md", "Markdown", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 19, 73
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\auth\academy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 5, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\auth\callback\route.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 5, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\auth\reset-password\confirm\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 2, 13
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\auth\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 5, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\auth\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 5, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\classes\AuthenticationError.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\classes\CustomBaseError.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 7, 36
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\classes\ErrorMessageMapping.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\Components.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 11, 17, 135
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\academy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 25, 15, 211
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\confirm-done.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 4, 23
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\confirm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 6, 7, 134
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\educational-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 268, 0, 0, 23, 29, 320
