Date : 2024-03-02 18:47:00
Directory : c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify
Total : 93 files,  22485 codes, 277 comments, 505 blanks, all 23267 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     18,695 |          0 |          5 |     18,700 |
| TypeScript JSX     |         49 |      2,843 |        224 |        355 |      3,422 |
| TypeScript         |         16 |        583 |         33 |         80 |        696 |
| SCSS               |          1 |        107 |         11 |         17 |        135 |
| Solidity           |          2 |        100 |          7 |         17 |        124 |
| Markdown           |          2 |         64 |          0 |         23 |         87 |
| JSON with Comments |          2 |         39 |          0 |          2 |         41 |
| JavaScript         |          3 |         36 |          2 |          4 |         42 |
| XML                |         11 |         11 |          0 |          0 |         11 |
| CSS                |          1 |          7 |          0 |          1 |          8 |
| SQL                |          1 |          0 |          0 |          1 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |         93 |     22,485 |        277 |        505 |     23,267 |
| . (Files)                                                                                       |          8 |     11,344 |          2 |         27 |     11,373 |
| app                                                                                             |         59 |      3,092 |        253 |        410 |      3,755 |
| app (Files)                                                                                     |          6 |        120 |          5 |         17 |        142 |
| app\auth                                                                                        |          6 |         95 |         19 |         27 |        141 |
| app\auth\academy                                                                                |          1 |         18 |          3 |          5 |         26 |
| app\auth\callback                                                                               |          1 |         14 |          5 |          5 |         24 |
| app\auth\login                                                                                  |          1 |         18 |          3 |          5 |         26 |
| app\auth\reset-password                                                                         |          2 |         27 |          5 |          7 |         39 |
| app\auth\reset-password (Files)                                                                 |          1 |         18 |          3 |          5 |         26 |
| app\auth\reset-password\confirm                                                                 |          1 |          9 |          2 |          2 |         13 |
| app\auth\signup                                                                                 |          1 |         18 |          3 |          5 |         26 |
| app\classes                                                                                     |          3 |         47 |          1 |         11 |         59 |
| app\components                                                                                  |         27 |      2,463 |        187 |        259 |      2,909 |
| app\hooks                                                                                       |          4 |         74 |         12 |         21 |        107 |
| app\settings                                                                                    |         13 |        293 |         29 |         75 |        397 |
| app\settings (Files)                                                                            |          1 |         77 |          2 |          6 |         85 |
| app\settings\educational                                                                        |          8 |        144 |         16 |         48 |        208 |
| app\settings\educational (Files)                                                                |          1 |         18 |          2 |          6 |         26 |
| app\settings\educational\[id]                                                                   |          1 |         18 |          2 |          6 |         26 |
| app\settings\educational\confirm                                                                |          2 |         36 |          4 |         12 |         52 |
| app\settings\educational\confirm\[id]                                                           |          2 |         36 |          4 |         12 |         52 |
